 length  | pcode |  type  |    avg_speed     
---------+-------+--------+------------------
 120-199 | A     | Cargo  | 9.90000009536743
 120-199 | B     | Cargo  | 12.8409728918142
 120-199 | C     | Cargo  | 12.8066114531224
 120-199 | D     | Cargo  |  12.814387292256
 120-199 | E     | Cargo  | 12.8669950694701
 120-199 | F     | Cargo  | 11.9128026289689
 120-199 | G     | Cargo  | 11.5007462606456
 120-199 | H     | Cargo  | 12.1185881796848
 120-199 | I     | Cargo  | 12.1386016068108
 120-199 | J     | Cargo  | 12.5637453114942
 120-199 | K     | Cargo  |  12.559527657643
 120-199 | B     | Tanker |  12.715984914585
 120-199 | C     | Tanker |   12.89310708054
 120-199 | D     | Tanker | 12.7050665072658
 120-199 | E     | Tanker | 12.7971587224488
 120-199 | F     | Tanker | 11.7798445003265
 120-199 | G     | Tanker | 11.3018846900394
 120-199 | H     | Tanker | 11.8674577509315
 120-199 | I     | Tanker | 12.2884844814678
 120-199 | J     | Tanker | 12.7840579581146
 120-199 | K     | Tanker | 12.6396128242955
 200-299 | B     | Cargo  | 14.2221186600784
 200-299 | C     | Cargo  | 14.6678446463057
 200-299 | D     | Cargo  | 14.7816625407877
 200-299 | E     | Cargo  | 14.5503077672813
 200-299 | F     | Cargo  | 13.8178189539179
 200-299 | G     | Cargo  | 13.3750621451426
 200-299 | H     | Cargo  | 14.2285714327255
 200-299 | I     | Cargo  | 14.0758241813976
 200-299 | J     | Cargo  | 14.8368201011394
 200-299 | K     | Cargo  | 14.0895298276718
 200-299 | A     | Tanker | 11.3999996185303
 200-299 | B     | Tanker | 13.1768119134814
 200-299 | C     | Tanker | 13.2385419067566
 200-299 | D     | Tanker | 13.3021875796053
 200-299 | E     | Tanker | 13.3872245737208
 200-299 | F     | Tanker | 12.6365716923959
 200-299 | G     | Tanker | 12.2890776711595
 200-299 | H     | Tanker | 12.6321818076481
 200-299 | I     | Tanker | 12.9126462458236
 200-299 | J     | Tanker | 13.6570769170614
 200-299 | K     | Tanker | 13.1793277695651
 300+    | B     | Cargo  | 18.0333250562843
 300+    | C     | Cargo  | 18.0738009478834
 300+    | D     | Cargo  |  17.995603727239
 300+    | E     | Cargo  | 18.2514196502942
 300+    | F     | Cargo  | 17.6485524474019
 300+    | G     | Cargo  | 17.8102754258503
 300+    | H     | Cargo  | 17.9461922016559
 300+    | I     | Cargo  |  17.947555242412
 300+    | J     | Cargo  | 17.3306213151774
 300+    | K     | Cargo  | 17.8662289433011
 300+    | B     | Tanker | 13.6823313827039
 300+    | C     | Tanker | 13.5425192273488
 300+    | D     | Tanker | 13.8640333949256
 300+    | E     | Tanker | 13.6431163914959
 300+    | F     | Tanker | 13.0060968099339
 300+    | G     | Tanker | 12.7845161320061
 300+    | H     | Tanker |   12.76851311578
 300+    | I     | Tanker | 13.0711504446722
 300+    | J     | Tanker |  13.173604052684
 300+    | K     | Tanker | 13.1021082275616
(62 rows)

